run_name,timestamp,model_name,input_encoding,architecture_scale,num_params,estimated_flops_per_position,epochs_trained,best_epoch,best_score,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,val_accuracy,val_pr_auc,train_samples_per_second,test_samples_per_second,fit_elapsed_seconds,batch_size,learning_rate,epochs_configured,git_commit,config_hash
idea_i179_causal_piece_derivative_network_seed42,2026-05-10T18:29:05Z,causal_piece_derivative_network,simple_18,base,65232,6974286,12,11,0.8220908162015089,0.7989673785496363,0.6455474151274379,0.8806306306306306,0.7449836260791902,0.904545124463066,0.8220908162015089,,,14982.447330598376,11317.593142107664,182.2627206146717,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,a568892f603331d7
idea_i057_soft_formal_concept_closure_network_seed42,2026-05-10T06:26:18Z,soft_formal_concept_closure_network,simple_18,base,96961,3126465,13,12,0.8220430806712385,0.8150668857075803,0.6614285714285715,0.9124436936936937,0.7669190724088973,0.9131341259354911,0.8220430806712385,,,10216.053497519551,8514.236570251403,259.0205908017233,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,81252fa3382cbb31
idea_i035_ordinal_evidence_ladder_network_seed42,2026-05-10T02:47:04Z,ordinal_evidence_ladder_network,simple_18,base,222853,28574082,13,12,0.821361016705622,0.8311194555268716,0.7652042360060515,0.7119932432432432,0.7376403675076564,0.90617692590485,0.821361016705622,,,15301.774380043418,9649.138198014281,177.7143989559263,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,4d2a876351abe931
idea_i185_critical_square_budget_network_seed42,2026-05-10T18:57:04Z,critical_square_budget_network,simple_18,base,74962,8700609,11,10,0.8212410561924958,0.8264257216615818,0.7156242086604203,0.7956081081081081,0.7534995333955472,0.9046177277199741,0.8212410561924958,,,15025.11253086257,11581.250092794508,180.82518280483782,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,30253ced9f04d43b
idea_i208_pinned_mobility_nullspace_network_seed42,2026-05-10T20:51:43Z,pinned_mobility_nullspace_network,simple_18,base,64947,7333017,11,10,0.820972793652639,0.8140812015958695,0.6733208337928752,0.859375,0.7550553459897347,0.905483450561152,0.820972793652639,,,15215.702508118975,11860.04166784478,178.55883614625782,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,0406e27cc9bd5463
idea_i160_hypercolumn_square_readout_cnn_seed42,2026-05-10T17:00:47Z,hypercolumn_square_readout_cnn,simple_18,base,310163,37666657,12,11,0.8209672997240781,0.8040366111241493,0.6527589444038803,0.8809121621621622,0.7498651968126535,0.9048411825934095,0.8209672997240781,,,14759.888108958417,11898.22667716683,184.06922602746636,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,41616ce7dcbffa19
idea_i154_adapter_sandwich_residual_cnn_seed42,2026-05-10T16:37:23Z,adapter_sandwich_residual_cnn,simple_18,base,173313,21369281,13,12,0.8204733612895221,0.8023938042712978,0.6500103669914991,0.8826013513513513,0.7486567164179104,0.904320608964538,0.8204733612895221,,,15085.63545830099,13982.359572438336,179.63932180497795,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,7bb9a497f37e586a
idea_i009_tactical_equilibrium_network_seed42,2026-05-09T18:27:18Z,tactical_equilibrium_network,simple_18,base,176676,38041857,13,12,0.8200348108168856,0.7943675193616522,0.6368204200582857,0.8920326576576577,0.7431251832307241,0.9041156059939949,0.8200348108168856,,,10725.323135396204,12362.00347784447,240.0816780505702,128,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,2b3a1bf3d9f3c4fb
idea_i184_puzzle_boundary_twin_encoder_seed42,2026-05-10T18:51:43Z,puzzle_boundary_twin_encoder,simple_18,base,94626,6181760,10,9,0.8194553591519108,0.8146913869983572,0.6812126779972439,0.8350225225225225,0.7503162155325069,0.9020554557444566,0.8194553591519108,,,15312.979319812099,12313.065821092061,177.31592894066125,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,d458282f6888ff47
idea_i007_neural_proof_number_search_seed42,2026-05-09T18:15:30Z,neural_proof_number_search,simple_18,base,275909,311578922,10,9,0.8194326753304886,0.8012203708049753,0.6491939677587103,0.8786599099099099,0.7466953765177343,0.903214575240863,0.8194326753304886,,,5036.7169551077695,9218.939029696006,466.5668967887759,96,0.0005,12,2e03965698dfe824efd0020628d3cc17da37547a,0142061c849ee12e
